,284.0
30,476.13826924023454
31,326.63348887625585
32,237.0447664575567
33,178.52876815165612
34,138.04484721100715
35,108.86066764639588
36,87.16403441197471
37,70.64385184193273
38,57.82356640113679
39,47.71972862507772
40,39.65479803025491
41,33.148733887839256
42,27.853314683000917
43,23.510810748189712
44,19.92712999162839
45,16.953877990282308
46,14.47608095799454
47,12.403604421780884
48,10.665041767942455
49,9.203288579980708
50,7.972289470839513
51,6.934614319011146
52,6.0596302504496435
53,5.322107515194389
54,4.701145404852525
55,4.179336984460335
56,3.7421139360413207
57,3.3772285817933465
58,3.0743413420368455
59,2.824689915208893
60,2.620822298952291
61,2.4563800497741823
62,2.3259213481577348
63,2.224775805233996
64,2.1489247332739865
65,2.0949019595964486
66,2.05971130270796
67,2.040757630781492
68,2.0357890445380065
69,2.0428482124032072
70,2.0602312675369774
71,2.0864529779745595
72,2.1202171407557273
73,2.1603913422699677
74,2.20598538058195
75,2.256132769267012
76,2.310074842492533
77,2.3671470625561923
78,2.4267671976020964
79,2.4884250917408295
80,2.551673794629636
81,2.6161218545727536
82,2.6814266098488275
83,2.747288338437478
84,2.8134451475423816
85,2.879668502052837
86,2.945759305963726
87,3.0115444632824335
88,3.076873855496494
89,3.141617681588592
90,3.205664114137356
91,3.268917231456605
92,3.3312951911863067
93,3.392728615407286
94,3.4531591613360604
95,3.5125382550690816
96,3.570825968777431
97,3.6279900242737817
98,3.6840049080470934
99,3.738851084737046
100,3.7925142976434536
101,3.8449849462727848
102,3.896257532144663
103,3.94633016514285
104,3.995204123619299
105,4.042883462266133
106,4.0893746624741105
107,4.134686320511982
108,4.178828869400228
109,4.221814330825744
110,4.263656093859087
111,4.304368717601278
112,4.343967755208393
113,4.382469597025658
114,4.4198913308127565
115,4.456250617262832
116,4.49156557921312
117,4.5258547031181315
118,4.559136751509353
119,4.591430685301724
120,4.62275559492759
121,4.653130639386404
122,4.6825749923938
123,4.71110779489868
124,4.738748113312788
125,4.765514902864847
126,4.79142697555157
127,4.816502972211893
128,4.8407613382988295
129,4.8642203029665865
130,4.88689786112916
131,4.908811758181098
132,4.929979477102371
133,4.950418227696861
134,4.970144937739114
135,4.989176245826421
136,5.007528495753345
137,5.025217732244087
138,5.042259697894313
139,5.058669831188736
140,5.074463265474035
141,5.089654828778526
142,5.104259044380788
143,5.11829013203918
144,5.1317620098027295
145,5.144688296332037
146,5.1570823136656845
147,5.168957090374217
148,5.180325365049601
149,5.191199590083075
150,5.201591935689395
151,5.2115142941394375
152,5.220978284167174
153,5.2299952555204765
154,5.238576293628434
155,5.246732224360542
156,5.2544736188560535
157,5.261810798403696
158,5.268753839354417
159,5.275312578051658
160,5.281496615765164
161,5.287315323616298
162,5.292777847483826
163,5.297893112880757
164,5.302669829793791
165,5.307116497477962
166,5.311241409200159
167,5.315052656925898
168,5.3185581359445155
169,5.321765549428788
170,5.324682412925343
171,5.327316058773063
172,5.329673640446982
173,5.331762136825768
174,5.333588356381124
175,5.3351589412880625
176,5.33648037145505
177,5.337558968473479
178,5.338400899486194
179,5.339012180974931
180,5.339398682466779
181,5.339566130160021
182,5.3395201104697705
183,5.33926607349399
184,5.338809336400688
185,5.338155086737062
